product_id,product_name,category,description,price,cost,stock_quantity,supplier,created_date,is_active
101,Wireless Headphones,Electronics,High-quality wireless headphones with noise cancellation,29.99,15.00,150,ElectroSupply Inc,2023-01-01,true
102,Smart Watch,Electronics,Fitness tracking smart watch with heart rate monitor,49.99,25.00,75,TechGear Corp,2023-01-15,true
103,Bluetooth Speaker,Electronics,Portable Bluetooth speaker with 12-hour battery,19.99,10.00,200,SoundWave Ltd,2023-02-01,true
104,Gaming Mouse,Electronics,RGB gaming mouse with programmable buttons,79.99,40.00,100,GameTech Solutions,2023-02-15,true
105,USB-C Cable,Electronics,Fast charging USB-C cable 6ft length,39.99,8.00,300,CableMaster Inc,2023-03-01,true
106,Phone Case,Accessories,Protective phone case with kickstand,14.99,5.00,500,CaseCraft Ltd,2023-03-15,true
107,Tablet Stand,Accessories,Adjustable aluminum tablet stand,99.99,35.00,50,StandPro Corp,2023-04-01,true
108,Mechanical Keyboard,Electronics,RGB mechanical keyboard with blue switches,199.99,120.00,25,KeyMaster Inc,2023-04-15,true
109,Wireless Charger,Electronics,Fast wireless charging pad with LED indicator,149.99,60.00,80,ChargeTech Ltd,2023-05-01,true
110,Screen Protector,Accessories,Tempered glass screen protector 3-pack,24.99,8.00,400,ProtectPlus Corp,2023-05-15,true
111,Webcam,Electronics,4K webcam with built-in microphone,89.99,45.00,60,CamTech Solutions,2023-06-01,true
112,Desk Lamp,Accessories,LED desk lamp with USB charging port,34.99,15.00,120,LampCraft Inc,2023-06-15,true
